external_video_id,estimated_view_count,date,duration,categories,decade
ceLlz7dOOvY,11457175,20041209,438,,2000
KMMgJjaDZXI,11448091,19930112,10,block,1990
JgPrQZ499nI,9599264,20131119,95,,2010
8dkm9TCNB4A,7123656,20110112,66,dunk|fight,2010
FeXZY4eVLlo,6875915,20060122,185,,2000
YFSSaLB-4SA,6708656,20160413,790,shot,2010
VxPAKipFHx4,6421028,20080512,65,,2000
HtiY-X-wbIM,5337850,20131212,35,,2010
cxTjOPImyts,5101131,20080729,512,,2000
ARwB2nITu78,4810254,20110318,26,,2010
H9-6xQXNHHg,4415834,20110718,17,dunk,2010
HHk7gpEGkmI,4395451,20100109,57,shot,2010
K6DfU9sDfT0,4330202,20150614,208,,2010
qeEuaxo3dXo,4296695,20000212,228,pass,2000
e04uyfgVgjY,4278683,20110524,93,dunk,2010
kt5pOPn_0Ik,4122823,20061120,34,block,2000
5uRN7iJ5CqQ,4099306,20091112,56,dunk,2000
kh3ZwCkawiw,4076230,20131205,30,,2010
CR3Egjuo3OQ,3968351,20120211,15,,2010
kroxmCZUgQ4,3634603,20091204,135,fight,2000
TaYWre9pW1g,3528307,19970211,1101,shot,1990
jLeiDyBluN8,3391989,20150301,136,fight,2010
VG6FzmB1mdg,3334255,20100121,112,,2010
lOBgZXdxz5E,3261890,20120219,507,,2010
Sh2ZT1aPBoE,3187334,20120404,59,dunk,2010
Wnz95vZn7ig,3170828,20000308,161,dunk,2000
5nyBpt9tRsg,3105499,20150123,574,,2010
6wwxUssWRvs,3063668,20150519,227,,2010
we6nhmgef9A,3001446,20160125,208,,2010
dkIJn7qbfHU,2931010,20101112,45,dunk,2010
jo1UlzDeY-o,2883620,20120428,72,injury,2010
rZPMwr5gCcY,2877622,20101127,130,shot,2010
pQaP9-8YQAE,2866048,20130108,336,,2010
1y-EvnfGO9Y,2775765,20110126,133,dunk,2010
xtmpEPNiqB4,2683458,20150112,77,fight,2010
j7z4L8xUlXs,2674219,20120517,73,fight,2010
6brTdgkALFY,2586927,20151128,260,pass,2010
FdHF215m7w8,2544590,20090304,43,,2000
aAmCcvHHY8M,2491237,20151202,38,fight,2010
vaZIAXJJDKQ,2464057,20100429,109,,2010
H8gdrILm47o,2395692,20130306,71,dunk,2010
GuPzSTCBTUs,2379047,20151225,460,pass,2010
Z9q8jsVQnNk,2328442,20120130,30,dunk,2010
wg3BiOw4TWo,2230329,19960519,679,shot,1990
iF5Ji26XCIw,2223317,20120110,29,,2010
mtcT1PRD7u4,2209574,20121030,38,,2010
vu1zMV5j0fo,2192728,20091115,46,shot,2000
9NIKK_OFvFY,2189434,19841109,398,shot|fight,1980
SMEIICnWMXw,2154678,20000212,125,shot,2000
qge70eEDP6o,2144272,20140115,65,shot|move,2010
XsLkJWngv_g,2142845,20161107,420,shot,2010
6CKHOMKqxYw,2127420,20120128,23,,2010
OTd4yqmoib0,2070115,20100507,37,,2010
VF5jXrZfuCA,2065287,20160311,133,,2010
k7YokgVxrUU,2063491,19950211,274,shot,1990
SLipFJrpkrM,2060133,20111119,18,move,2010
EyA76nqXyeQ,2050135,19980219,58,dunk,1990
oragndFFa8o,2042118,20161225,296,pass,2010
p_CGxj3dHGA,2021171,20041212,123,shot,2000
Dxbs4HRcFlA,1972268,20151030,379,pass,2010
LiSr5kIIAOs,1946069,20151129,796,,2010
pdvKExnQ-P8,1941016,20140326,91,,2010
pdyRB8iT_NM,1934892,20110407,30,,2010
dbVD0WlE3BA,1911514,20130819,62,move|shot,2010
5RNX0ofgbUY,1902363,20140519,258,,2010
5VH0fZNyCLk,1891136,20151117,232,,2010
m-rZCCRaA_0,1859377,20161109,373,pass,2010
KgLMI784M4E,1852885,20110526,253,,2010
saqNDwVFE7k,1851577,20100127,31,block|move,2010
5YyE62bbTek,1844420,20130907,75,dunk,2010
m3A6wJBZ7hE,1749760,20120204,406,,2010
BrqdxvgQiwE,1742064,20110725,47,pass|dunk,2010
pKCZhKsXgVU,1712390,20101006,81,move,2010
ZdmsNA6yhXY,1709772,20101216,42,dunk,2010
wwZdoevq3E4,1703085,20140124,213,shot|pass,2010
JwmKKDyi68M,1681525,20110725,130,,2010
mTkTv3t4-rE,1665178,20100110,62,,2010
FkxcY45bP2U,1642920,20130318,43,dunk,2010
1Gg91S7mVds,1637325,20150621,362,,2010
H-oKNhXvEjg,1617342,20101228,60,shot|fight,2010
qxIeaPpje1U,1602203,20161030,336,pass|move,2010
wIsuoZlStw4,1573429,20131108,73,,2010
KAozzVy3hc0,1560081,20161103,245,,2010
auDhSzgGKyc,1553585,20110330,121,,2010
0fqYVazNybA,1533577,20100109,248,,2010
2Y8CzEjNVJw,1514755,20090506,366,fight,2000
lFyOdSRke0g,1494481,20090217,354,,2000
VkaxOqgeV_o,1491711,20160306,118,fight,2010
rpJ6WcVmHfk,1479213,20071030,49,,2000
y64OsZNYhp0,1470825,20160413,408,,2010
avJmMXkRDJc,1440315,20120429,359,,2010
bgbBLDLd5gA,1432760,20160214,69,shot,2010
XnyvwldZWOQ,1428283,20071215,151,dunk,2000
Znclf-HuQPU,1427311,20170116,164,,2010
Z41cOrwrkeI,1418218,20141214,123,pass,2010
fBs0PfY2Gg4,1415003,20100103,97,shot,2010
rankc8FgUVk,1408970,20110409,146,shot,2010
z2lESVbUpxI,1407661,20121231,133,injury,2010
ikc-uM_Ekkc,1392153,20110306,41,,2010
wnEAy9WpowA,1373856,20021121,147,,2000
Bw5MaUkw-ko,1369791,20131204,493,block,2010
18b7Gh7ZbNg,1360464,20050224,59,fight,2000
WtIduoOib0Y,1331033,20100106,162,shot,2010
